"","method","calib.method","k","m","b0","bc","bb","zc.star","zb.star","zc.ref","zb.ref","V","Vzeta","muN","minN","sd.w","tail","true.effect.dist","TheoryP","q","TheoryP.ref","TheoryDiff","scen.name","clustered"
"1","bt.smart","MR bt both correct",150,75,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,1,TRUE
"2","bt.smart","MR",150,75,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,2,TRUE
"3","bt.smart","DL",150,75,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,3,TRUE
"4","bt.smart","MR bt both correct",100,50,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,4,TRUE
"5","bt.smart","MR",100,50,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,5,TRUE
"6","bt.smart","DL",100,50,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,6,TRUE
"7","bt.smart","MR bt both correct",50,25,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,7,TRUE
"8","bt.smart","MR",50,25,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,8,TRUE
"9","bt.smart","DL",50,25,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,9,TRUE
"10","bt.smart","MR bt both correct",20,10,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,10,TRUE
"11","bt.smart","MR",20,10,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,11,TRUE
"12","bt.smart","DL",20,10,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,12,TRUE
"13","bt.smart","MR bt both correct",10,5,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,13,TRUE
"14","bt.smart","MR",10,5,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,14,TRUE
"15","bt.smart","DL",10,5,0,0.5,1,0.5,1,2,0,0.64,0.48,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,15,TRUE
"16","bt.smart","MR bt both correct",150,150,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,16,FALSE
"17","bt.smart","MR",150,150,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,17,FALSE
"18","bt.smart","DL",150,150,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,18,FALSE
"19","bt.smart","MR bt both correct",100,100,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,19,FALSE
"20","bt.smart","MR",100,100,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,20,FALSE
"21","bt.smart","DL",100,100,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,21,FALSE
"22","bt.smart","MR bt both correct",50,50,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,22,FALSE
"23","bt.smart","MR",50,50,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,23,FALSE
"24","bt.smart","DL",50,50,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,24,FALSE
"25","bt.smart","MR bt both correct",20,20,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,25,FALSE
"26","bt.smart","MR",20,20,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,26,FALSE
"27","bt.smart","DL",20,20,0,0.5,1,0.5,1,2,0,0.64,0,100,50,1,"above","normal",0.05,2.56588290156118,0.0251529532947113,0.0248470467052887,27,FALSE
